app_id,name,tier,env,server_hostnames,depends_on,notes
app-k8s-worker-1,k8s-worker service 1,infra,prod,k8s-w-11664;k8s-w-06491;k8s-w-14408;k8s-w-04236;k8s-w-07803;k8s-w-05071;k8s-w-12184;k8s-w-10785;k8s-w-03720;k8s-w-05829;k8s-w-12330;k8s-w-05658;k8s-w-12952;k8s-w-10400;k8s-w-01570;k8s-w-04049,,
app-k8s-worker-2,k8s-worker service 2,infra,prod,k8s-w-05658;k8s-w-12952;k8s-w-10400;k8s-w-01570;k8s-w-04049;k8s-w-13434;k8s-w-01380;k8s-w-12783;k8s-w-08278,,
app-k8s-worker-3,k8s-worker service 3,infra,dev,k8s-w-13881;k8s-w-00187;k8s-w-14816;k8s-w-11678;k8s-w-04520;k8s-w-01450;k8s-w-06597;k8s-w-07884;k8s-w-08643;k8s-w-14669;k8s-w-00253,,
app-k8s-worker-4,k8s-worker service 4,infra,prod,k8s-w-00641;k8s-w-03139;k8s-w-01589;k8s-w-13464;k8s-w-01263;k8s-w-01221;k8s-w-10301;k8s-w-05871,,
app-k8s-worker-5,k8s-worker service 5,infra,prod,k8s-w-05249;k8s-w-13407;k8s-w-07330;k8s-w-03475;k8s-w-04169;k8s-w-03885;k8s-w-01423;k8s-w-03005,,
app-k8s-worker-6,k8s-worker service 6,infra,staging,k8s-w-10354;k8s-w-13456;k8s-w-08416;k8s-w-04963;k8s-w-06995;k8s-w-03110;k8s-w-01295;k8s-w-03589;k8s-w-06806;k8s-w-10059;k8s-w-12033;k8s-w-04461;k8s-w-09284;k8s-w-10201;k8s-w-08727;k8s-w-14797;k8s-w-00865,,
app-k8s-worker-7,k8s-worker service 7,infra,staging,k8s-w-04461;k8s-w-09284;k8s-w-10201;k8s-w-08727;k8s-w-14797;k8s-w-00865;k8s-w-08713;k8s-w-02795;k8s-w-11979;k8s-w-09099;k8s-w-04666;k8s-w-11068;k8s-w-06412,,
app-k8s-worker-8,k8s-worker service 8,infra,prod,k8s-w-11068;k8s-w-06412;k8s-w-05070;k8s-w-10622;k8s-w-06384;k8s-w-06141;k8s-w-00463;k8s-w-07401;k8s-w-02393;k8s-w-05367;k8s-w-11504;k8s-w-13049;k8s-w-09684;k8s-w-12233,,
app-k8s-worker-9,k8s-worker service 9,infra,prod,k8s-w-13049;k8s-w-09684;k8s-w-12233;k8s-w-07470;k8s-w-13445;k8s-w-09488;k8s-w-07693;k8s-w-10754;k8s-w-07969;k8s-w-01249;k8s-w-07297;k8s-w-10467;k8s-w-00818;k8s-w-09728;k8s-w-04380;k8s-w-14549;k8s-w-06402;k8s-w-03258;k8s-w-01022,,
app-k8s-worker-10,k8s-worker service 10,infra,prod,k8s-w-10467;k8s-w-00818;k8s-w-09728;k8s-w-04380;k8s-w-14549;k8s-w-06402;k8s-w-03258;k8s-w-01022;k8s-w-14445;k8s-w-11849;k8s-w-04358;k8s-w-03690;k8s-w-06603;k8s-w-04607;k8s-w-01501;k8s-w-02133;k8s-w-14266;k8s-w-05251,,
app-k8s-worker-11,k8s-worker service 11,infra,prod,k8s-w-03690;k8s-w-06603;k8s-w-04607;k8s-w-01501;k8s-w-02133;k8s-w-14266;k8s-w-05251;k8s-w-08173;k8s-w-05602;k8s-w-10856;k8s-w-05478;k8s-w-05604;k8s-w-02586;k8s-w-11014;k8s-w-14356;k8s-w-02830,,
app-k8s-worker-12,k8s-worker service 12,infra,prod,k8s-w-05604;k8s-w-02586;k8s-w-11014;k8s-w-14356;k8s-w-02830;k8s-w-04813;k8s-w-00607;k8s-w-07262;k8s-w-07255;k8s-w-14191;k8s-w-08115;k8s-w-03012;k8s-w-10934;k8s-w-07111;k8s-w-10093;k8s-w-07225,,
app-k8s-worker-13,k8s-worker service 13,infra,prod,k8s-w-03012;k8s-w-10934;k8s-w-07111;k8s-w-10093;k8s-w-07225;k8s-w-01477;k8s-w-08360;k8s-w-07368;k8s-w-11401;k8s-w-00602;k8s-w-01535;k8s-w-02366;k8s-w-06830;k8s-w-04852,,
app-k8s-worker-14,k8s-worker service 14,infra,prod,k8s-w-02366;k8s-w-06830;k8s-w-04852;k8s-w-12469;k8s-w-06067;k8s-w-03842;k8s-w-04800;k8s-w-04806;k8s-w-12606;k8s-w-00646;k8s-w-09103;k8s-w-14917;k8s-w-01390;k8s-w-08073,,
app-k8s-worker-15,k8s-worker service 15,infra,prod,k8s-w-14917;k8s-w-01390;k8s-w-08073;k8s-w-03342;k8s-w-09737;k8s-w-14656;k8s-w-05708;k8s-w-12651;k8s-w-13989;k8s-w-04623;k8s-w-07067;k8s-w-09430;k8s-w-02478,,
app-k8s-worker-16,k8s-worker service 16,infra,prod,k8s-w-09430;k8s-w-02478;k8s-w-10374;k8s-w-00352;k8s-w-01084;k8s-w-01399;k8s-w-06994;k8s-w-12586;k8s-w-07583;k8s-w-04595;k8s-w-11522;k8s-w-14138;k8s-w-10557;k8s-w-12147;k8s-w-02454,,
app-k8s-worker-17,k8s-worker service 17,infra,prod,k8s-w-14138;k8s-w-10557;k8s-w-12147;k8s-w-02454;k8s-w-07181;k8s-w-13394;k8s-w-03245;k8s-w-06240;k8s-w-00548,,
app-k8s-worker-18,k8s-worker service 18,infra,prod,k8s-w-11379;k8s-w-05228;k8s-w-03944;k8s-w-04646;k8s-w-02152;k8s-w-10421;k8s-w-13133;k8s-w-01442;k8s-w-14263;k8s-w-06162;k8s-w-03559;k8s-w-05051;k8s-w-14599;k8s-w-13085;k8s-w-09897;k8s-w-08624,,
app-k8s-worker-19,k8s-worker service 19,infra,prod,k8s-w-05051;k8s-w-14599;k8s-w-13085;k8s-w-09897;k8s-w-08624;k8s-w-14210;k8s-w-10028;k8s-w-05562;k8s-w-13206;k8s-w-10126;k8s-w-00307;k8s-w-09749;k8s-w-10601;k8s-w-04250;k8s-w-06411;k8s-w-14469;k8s-w-02952,,
app-k8s-worker-20,k8s-worker service 20,infra,prod,k8s-w-09749;k8s-w-10601;k8s-w-04250;k8s-w-06411;k8s-w-14469;k8s-w-02952;k8s-w-08021;k8s-w-04700;k8s-w-10292;k8s-w-14493;k8s-w-04003,,
app-k8s-worker-21,k8s-worker service 21,infra,prod,k8s-w-06278;k8s-w-04835;k8s-w-11459;k8s-w-13227;k8s-w-02541;k8s-w-11672;k8s-w-01709;k8s-w-08491;k8s-w-02231;k8s-w-03524;k8s-w-10689;k8s-w-01564;k8s-w-04683;k8s-w-10229;k8s-w-04747,,
app-k8s-worker-22,k8s-worker service 22,infra,staging,k8s-w-01564;k8s-w-04683;k8s-w-10229;k8s-w-04747;k8s-w-04867;k8s-w-02509;k8s-w-09067;k8s-w-00560;k8s-w-04024;k8s-w-05419,,
app-k8s-worker-23,k8s-worker service 23,infra,prod,k8s-w-03337;k8s-w-00609;k8s-w-14563;k8s-w-10037;k8s-w-09511;k8s-w-06310;k8s-w-00948;k8s-w-04200;k8s-w-03195;k8s-w-11476,,
app-k8s-worker-24,k8s-worker service 24,infra,prod,k8s-w-13043;k8s-w-05131;k8s-w-07045;k8s-w-09475;k8s-w-07642;k8s-w-08780;k8s-w-01978;k8s-w-10817;k8s-w-07879;k8s-w-04798;k8s-w-01552;k8s-w-13764;k8s-w-12808;k8s-w-08754;k8s-w-04643;k8s-w-05304;k8s-w-07951;k8s-w-04992;k8s-w-10083;k8s-w-00870,,
app-k8s-worker-25,k8s-worker service 25,infra,prod,k8s-w-13764;k8s-w-12808;k8s-w-08754;k8s-w-04643;k8s-w-05304;k8s-w-07951;k8s-w-04992;k8s-w-10083,,
app-k8s-worker-26,k8s-worker service 26,infra,prod,k8s-w-01755;k8s-w-02974;k8s-w-14998;k8s-w-04098;k8s-w-11039;k8s-w-14269;k8s-w-08815;k8s-w-12640;k8s-w-03694;k8s-w-06015;k8s-w-10847;k8s-w-07291;k8s-w-09580;k8s-w-12211;k8s-w-00050;k8s-w-00110;k8s-w-01296;k8s-w-10885;k8s-w-00936;k8s-w-03499,,
app-k8s-worker-27,k8s-worker service 27,infra,prod,k8s-w-07291;k8s-w-09580;k8s-w-12211;k8s-w-00050;k8s-w-00110;k8s-w-01296;k8s-w-10885;k8s-w-00936;k8s-w-03499;k8s-w-13672;k8s-w-00214;k8s-w-06393;k8s-w-03267;k8s-w-06431;k8s-w-10276;k8s-w-06267;k8s-w-02681;k8s-w-05141,,
app-k8s-worker-28,k8s-worker service 28,infra,staging,k8s-w-06393;k8s-w-03267;k8s-w-06431;k8s-w-10276;k8s-w-06267;k8s-w-02681;k8s-w-05141;k8s-w-12572;k8s-w-07820;k8s-w-05291;k8s-w-13697;k8s-w-09775;k8s-w-10703;k8s-w-00115;k8s-w-01373;k8s-w-11086;k8s-w-06931,,
app-k8s-worker-29,k8s-worker service 29,infra,prod,k8s-w-09775;k8s-w-10703;k8s-w-00115;k8s-w-01373;k8s-w-11086;k8s-w-06931;k8s-w-00151;k8s-w-11090,,
app-k8s-worker-30,k8s-worker service 30,infra,prod,k8s-w-13886;k8s-w-12793;k8s-w-02620;k8s-w-06942;k8s-w-03305;k8s-w-08373;k8s-w-09708;k8s-w-09453,,
app-k8s-worker-31,k8s-worker service 31,infra,staging,k8s-w-14286;k8s-w-05271;k8s-w-00055;k8s-w-06422;k8s-w-02892;k8s-w-11424;k8s-w-07248;k8s-w-03381;k8s-w-09323;k8s-w-06437;k8s-w-00706;k8s-w-14581;k8s-w-00799;k8s-w-10474;k8s-w-12941;k8s-w-08641;k8s-w-08614;k8s-w-03038;k8s-w-12736,,
app-k8s-worker-32,k8s-worker service 32,infra,prod,k8s-w-14581;k8s-w-00799;k8s-w-10474;k8s-w-12941;k8s-w-08641;k8s-w-08614;k8s-w-03038;k8s-w-12736,,
app-k8s-worker-33,k8s-worker service 33,infra,prod,k8s-w-10618;k8s-w-12981;k8s-w-01591;k8s-w-06251;k8s-w-01616;k8s-w-07681;k8s-w-00965;k8s-w-08774;k8s-w-12920,,
app-k8s-worker-34,k8s-worker service 34,infra,prod,k8s-w-02700;k8s-w-00215;k8s-w-03906;k8s-w-10403;k8s-w-08116;k8s-w-01544;k8s-w-02028;k8s-w-04611;k8s-w-01046;k8s-w-14615;k8s-w-05996;k8s-w-14664;k8s-w-05062;k8s-w-06209,,
app-k8s-worker-35,k8s-worker service 35,infra,staging,k8s-w-14664;k8s-w-05062;k8s-w-06209;k8s-w-06407;k8s-w-10459;k8s-w-13527;k8s-w-08985;k8s-w-09502;k8s-w-09829;k8s-w-10491;k8s-w-08318;k8s-w-00928;k8s-w-01458,,
app-k8s-worker-36,k8s-worker service 36,infra,dev,k8s-w-00928;k8s-w-01458;k8s-w-11166;k8s-w-03951;k8s-w-06632;k8s-w-03627;k8s-w-03575;k8s-w-11741;k8s-w-08281,,
