VM,Disk,Capacity (GB),Disk Mode,Disk Type,Path
web-00002,Hard disk 1,40,persistent,THIN,/
web-00003,Hard disk 1,40,persistent,THIN,/
app-00004,Hard disk 1,50,persistent,THIN,/
app-00004,Hard disk 2,96,persistent,THIN,/data
app-00006,Hard disk 1,50,persistent,THIN,/
app-00006,Hard disk 2,109,persistent,THIN,/data
app-00007,Hard disk 1,50,persistent,THIN,/
app-00007,Hard disk 2,90,persistent,THIN,/data
app-00009,Hard disk 1,50,persistent,THIN,/
app-00009,Hard disk 2,125,persistent,THIN,/data
app-00010,Hard disk 1,50,persistent,THIN,/
app-00010,Hard disk 2,96,persistent,THIN,/data
web-00011,Hard disk 1,40,persistent,THIN,/
app-00012,Hard disk 1,50,persistent,THIN,/
app-00012,Hard disk 2,96,persistent,THIN,/data
srv-00013,Hard disk 1,50,persistent,THIN,/
app-00014,Hard disk 1,50,persistent,THIN,/
app-00014,Hard disk 2,91,persistent,THIN,/data
srv-00015,Hard disk 1,50,persistent,THIN,/
srv-00016,Hard disk 1,50,persistent,THIN,/
app-00017,Hard disk 1,50,persistent,THIN,/
app-00017,Hard disk 2,88,persistent,THIN,/data
web-00019,Hard disk 1,40,persistent,THIN,/
app-00020,Hard disk 1,50,persistent,THIN,/
app-00020,Hard disk 2,101,persistent,THIN,/data
db-00021,Hard disk 1,50,persistent,THIN,/
db-00021,Hard disk 2,415,persistent,THIN,/data
srv-00022,Hard disk 1,50,persistent,THIN,/
web-00024,Hard disk 1,40,persistent,THIN,/
app-00025,Hard disk 1,50,persistent,THIN,/
app-00025,Hard disk 2,111,persistent,THIN,/data
app-00026,Hard disk 1,50,persistent,THIN,/
app-00026,Hard disk 2,109,persistent,THIN,/data
web-00027,Hard disk 1,40,persistent,THIN,/
app-00028,Hard disk 1,50,persistent,THIN,/
app-00028,Hard disk 2,91,persistent,THIN,/data
web-00030,Hard disk 1,40,persistent,THIN,/
web-00031,Hard disk 1,40,persistent,THIN,/
app-00032,Hard disk 1,50,persistent,THIN,/
app-00032,Hard disk 2,119,persistent,THIN,/data
app-00033,Hard disk 1,50,persistent,THIN,/
app-00033,Hard disk 2,127,persistent,THIN,/data
app-00034,Hard disk 1,50,persistent,THIN,/
app-00034,Hard disk 2,111,persistent,THIN,/data
srv-00035,Hard disk 1,50,persistent,THIN,/
app-00036,Hard disk 1,50,persistent,THIN,/
app-00036,Hard disk 2,89,persistent,THIN,/data
app-00037,Hard disk 1,50,persistent,THIN,/
app-00037,Hard disk 2,130,persistent,THIN,/data
srv-00038,Hard disk 1,50,persistent,THIN,/
mon-00039,Hard disk 1,40,persistent,THIN,/
srv-00040,Hard disk 1,50,persistent,THIN,/
app-00041,Hard disk 1,50,persistent,THIN,/
app-00041,Hard disk 2,105,persistent,THIN,/data
app-00042,Hard disk 1,50,persistent,THIN,/
app-00042,Hard disk 2,101,persistent,THIN,/data
app-00043,Hard disk 1,50,persistent,THIN,/
app-00043,Hard disk 2,126,persistent,THIN,/data
web-00044,Hard disk 1,40,persistent,THIN,/
db-00046,Hard disk 1,50,persistent,THIN,/
db-00046,Hard disk 2,424,persistent,THIN,/data
web-00048,Hard disk 1,40,persistent,THIN,/
db-00049,Hard disk 1,50,persistent,THIN,/
db-00049,Hard disk 2,415,persistent,THIN,/data
app-00051,Hard disk 1,50,persistent,THIN,/
app-00051,Hard disk 2,124,persistent,THIN,/data
web-00052,Hard disk 1,40,persistent,THIN,/
srv-00053,Hard disk 1,50,persistent,THIN,/
mon-00054,Hard disk 1,40,persistent,THIN,/
app-00056,Hard disk 1,50,persistent,THIN,/
app-00056,Hard disk 2,106,persistent,THIN,/data
app-00057,Hard disk 1,50,persistent,THIN,/
app-00057,Hard disk 2,104,persistent,THIN,/data
app-00058,Hard disk 1,50,persistent,THIN,/
app-00058,Hard disk 2,127,persistent,THIN,/data
srv-00059,Hard disk 1,50,persistent,THIN,/
app-00061,Hard disk 1,50,persistent,THIN,/
app-00061,Hard disk 2,128,persistent,THIN,/data
app-00062,Hard disk 1,50,persistent,THIN,/
app-00062,Hard disk 2,84,persistent,THIN,/data
srv-00063,Hard disk 1,50,persistent,THIN,/
web-00064,Hard disk 1,40,persistent,THIN,/
srv-00065,Hard disk 1,50,persistent,THIN,/
app-00066,Hard disk 1,50,persistent,THIN,/
app-00066,Hard disk 2,87,persistent,THIN,/data
srv-00067,Hard disk 1,50,persistent,THIN,/
srv-00068,Hard disk 1,50,persistent,THIN,/
srv-00069,Hard disk 1,50,persistent,THIN,/
app-00070,Hard disk 1,50,persistent,THIN,/
app-00070,Hard disk 2,122,persistent,THIN,/data
app-00071,Hard disk 1,50,persistent,THIN,/
app-00071,Hard disk 2,118,persistent,THIN,/data
db-00072,Hard disk 1,50,persistent,THIN,/
db-00072,Hard disk 2,441,persistent,THIN,/data
web-00073,Hard disk 1,40,persistent,THIN,/
db-00074,Hard disk 1,50,persistent,THIN,/
db-00074,Hard disk 2,446,persistent,THIN,/data
app-00075,Hard disk 1,50,persistent,THIN,/
app-00075,Hard disk 2,117,persistent,THIN,/data
app-00077,Hard disk 1,50,persistent,THIN,/
app-00077,Hard disk 2,80,persistent,THIN,/data
app-00078,Hard disk 1,50,persistent,THIN,/
app-00078,Hard disk 2,84,persistent,THIN,/data
db-00079,Hard disk 1,50,persistent,THIN,/
db-00079,Hard disk 2,435,persistent,THIN,/data
web-00082,Hard disk 1,40,persistent,THIN,/
srv-00083,Hard disk 1,50,persistent,THIN,/
app-00084,Hard disk 1,50,persistent,THIN,/
app-00084,Hard disk 2,99,persistent,THIN,/data
srv-00085,Hard disk 1,50,persistent,THIN,/
app-00086,Hard disk 1,50,persistent,THIN,/
app-00086,Hard disk 2,116,persistent,THIN,/data
srv-00087,Hard disk 1,50,persistent,THIN,/
srv-00088,Hard disk 1,50,persistent,THIN,/
app-00089,Hard disk 1,50,persistent,THIN,/
app-00089,Hard disk 2,129,persistent,THIN,/data
srv-00090,Hard disk 1,50,persistent,THIN,/
srv-00092,Hard disk 1,50,persistent,THIN,/
web-00093,Hard disk 1,40,persistent,THIN,/
srv-00094,Hard disk 1,50,persistent,THIN,/
srv-00095,Hard disk 1,50,persistent,THIN,/
app-00096,Hard disk 1,50,persistent,THIN,/
app-00096,Hard disk 2,110,persistent,THIN,/data
app-00097,Hard disk 1,50,persistent,THIN,/
app-00097,Hard disk 2,104,persistent,THIN,/data
srv-00098,Hard disk 1,50,persistent,THIN,/
db-00099,Hard disk 1,50,persistent,THIN,/
db-00099,Hard disk 2,406,persistent,THIN,/data
srv-00100,Hard disk 1,50,persistent,THIN,/
app-00101,Hard disk 1,50,persistent,THIN,/
app-00101,Hard disk 2,100,persistent,THIN,/data
srv-00103,Hard disk 1,50,persistent,THIN,/
app-00104,Hard disk 1,50,persistent,THIN,/
app-00104,Hard disk 2,85,persistent,THIN,/data
srv-00105,Hard disk 1,50,persistent,THIN,/
srv-00106,Hard disk 1,50,persistent,THIN,/
srv-00108,Hard disk 1,50,persistent,THIN,/
srv-00109,Hard disk 1,50,persistent,THIN,/
app-00111,Hard disk 1,50,persistent,THIN,/
app-00111,Hard disk 2,97,persistent,THIN,/data
app-00112,Hard disk 1,50,persistent,THIN,/
app-00112,Hard disk 2,128,persistent,THIN,/data
srv-00113,Hard disk 1,50,persistent,THIN,/
web-00114,Hard disk 1,40,persistent,THIN,/
app-00116,Hard disk 1,50,persistent,THIN,/
app-00116,Hard disk 2,103,persistent,THIN,/data
web-00117,Hard disk 1,40,persistent,THIN,/
app-00118,Hard disk 1,50,persistent,THIN,/
app-00118,Hard disk 2,83,persistent,THIN,/data
app-00119,Hard disk 1,50,persistent,THIN,/
app-00119,Hard disk 2,130,persistent,THIN,/data
app-00120,Hard disk 1,50,persistent,THIN,/
app-00120,Hard disk 2,94,persistent,THIN,/data
srv-00121,Hard disk 1,50,persistent,THIN,/
app-00122,Hard disk 1,50,persistent,THIN,/
app-00122,Hard disk 2,127,persistent,THIN,/data
db-00123,Hard disk 1,50,persistent,THIN,/
db-00123,Hard disk 2,439,persistent,THIN,/data
app-00125,Hard disk 1,50,persistent,THIN,/
app-00125,Hard disk 2,125,persistent,THIN,/data
web-00126,Hard disk 1,40,persistent,THIN,/
web-00128,Hard disk 1,40,persistent,THIN,/
app-00129,Hard disk 1,50,persistent,THIN,/
app-00129,Hard disk 2,122,persistent,THIN,/data
web-00130,Hard disk 1,40,persistent,THIN,/
app-00131,Hard disk 1,50,persistent,THIN,/
app-00131,Hard disk 2,94,persistent,THIN,/data
srv-00132,Hard disk 1,50,persistent,THIN,/
srv-00133,Hard disk 1,50,persistent,THIN,/
app-00134,Hard disk 1,50,persistent,THIN,/
app-00134,Hard disk 2,129,persistent,THIN,/data
db-00136,Hard disk 1,50,persistent,THIN,/
db-00136,Hard disk 2,443,persistent,THIN,/data
db-00137,Hard disk 1,50,persistent,THIN,/
db-00137,Hard disk 2,413,persistent,THIN,/data
srv-00138,Hard disk 1,50,persistent,THIN,/
db-00139,Hard disk 1,50,persistent,THIN,/
db-00139,Hard disk 2,420,persistent,THIN,/data
web-00140,Hard disk 1,40,persistent,THIN,/
web-00141,Hard disk 1,40,persistent,THIN,/
srv-00142,Hard disk 1,50,persistent,THIN,/
srv-00143,Hard disk 1,50,persistent,THIN,/
app-00144,Hard disk 1,50,persistent,THIN,/
app-00144,Hard disk 2,109,persistent,THIN,/data
srv-00145,Hard disk 1,50,persistent,THIN,/
web-00146,Hard disk 1,40,persistent,THIN,/
web-00147,Hard disk 1,40,persistent,THIN,/
web-00148,Hard disk 1,40,persistent,THIN,/
web-00149,Hard disk 1,40,persistent,THIN,/
db-00150,Hard disk 1,50,persistent,THIN,/
db-00150,Hard disk 2,403,persistent,THIN,/data
app-00152,Hard disk 1,50,persistent,THIN,/
app-00152,Hard disk 2,88,persistent,THIN,/data
app-00154,Hard disk 1,50,persistent,THIN,/
app-00154,Hard disk 2,129,persistent,THIN,/data
app-00155,Hard disk 1,50,persistent,THIN,/
app-00155,Hard disk 2,127,persistent,THIN,/data
app-00156,Hard disk 1,50,persistent,THIN,/
app-00156,Hard disk 2,129,persistent,THIN,/data
srv-00157,Hard disk 1,50,persistent,THIN,/
srv-00158,Hard disk 1,50,persistent,THIN,/
app-00159,Hard disk 1,50,persistent,THIN,/
app-00159,Hard disk 2,90,persistent,THIN,/data
srv-00160,Hard disk 1,50,persistent,THIN,/
srv-00161,Hard disk 1,50,persistent,THIN,/
srv-00162,Hard disk 1,50,persistent,THIN,/
app-00163,Hard disk 1,50,persistent,THIN,/
app-00163,Hard disk 2,130,persistent,THIN,/data
app-00164,Hard disk 1,50,persistent,THIN,/
app-00164,Hard disk 2,80,persistent,THIN,/data
app-00165,Hard disk 1,50,persistent,THIN,/
app-00165,Hard disk 2,98,persistent,THIN,/data
app-00166,Hard disk 1,50,persistent,THIN,/
app-00166,Hard disk 2,111,persistent,THIN,/data
db-00167,Hard disk 1,50,persistent,THIN,/
db-00167,Hard disk 2,442,persistent,THIN,/data
db-00168,Hard disk 1,50,persistent,THIN,/
db-00168,Hard disk 2,402,persistent,THIN,/data
srv-00169,Hard disk 1,50,persistent,THIN,/
srv-00170,Hard disk 1,50,persistent,THIN,/
srv-00171,Hard disk 1,50,persistent,THIN,/
app-00172,Hard disk 1,50,persistent,THIN,/
app-00172,Hard disk 2,96,persistent,THIN,/data
srv-00173,Hard disk 1,50,persistent,THIN,/
web-00174,Hard disk 1,40,persistent,THIN,/
app-00175,Hard disk 1,50,persistent,THIN,/
app-00175,Hard disk 2,114,persistent,THIN,/data
app-00176,Hard disk 1,50,persistent,THIN,/
app-00176,Hard disk 2,108,persistent,THIN,/data
web-00177,Hard disk 1,40,persistent,THIN,/
app-00178,Hard disk 1,50,persistent,THIN,/
app-00178,Hard disk 2,82,persistent,THIN,/data
app-00179,Hard disk 1,50,persistent,THIN,/
app-00179,Hard disk 2,103,persistent,THIN,/data
web-00180,Hard disk 1,40,persistent,THIN,/
app-00181,Hard disk 1,50,persistent,THIN,/
app-00181,Hard disk 2,108,persistent,THIN,/data
srv-00182,Hard disk 1,50,persistent,THIN,/
srv-00183,Hard disk 1,50,persistent,THIN,/
cache-00185,Hard disk 1,40,persistent,THIN,/
srv-00186,Hard disk 1,50,persistent,THIN,/
app-00188,Hard disk 1,50,persistent,THIN,/
app-00188,Hard disk 2,92,persistent,THIN,/data
app-00189,Hard disk 1,50,persistent,THIN,/
app-00189,Hard disk 2,90,persistent,THIN,/data
web-00191,Hard disk 1,40,persistent,THIN,/
app-00192,Hard disk 1,50,persistent,THIN,/
app-00192,Hard disk 2,89,persistent,THIN,/data
srv-00193,Hard disk 1,50,persistent,THIN,/
app-00194,Hard disk 1,50,persistent,THIN,/
app-00194,Hard disk 2,119,persistent,THIN,/data
app-00195,Hard disk 1,50,persistent,THIN,/
app-00195,Hard disk 2,112,persistent,THIN,/data
db-00196,Hard disk 1,50,persistent,THIN,/
db-00196,Hard disk 2,437,persistent,THIN,/data
app-00197,Hard disk 1,50,persistent,THIN,/
app-00197,Hard disk 2,86,persistent,THIN,/data
app-00198,Hard disk 1,50,persistent,THIN,/
app-00198,Hard disk 2,92,persistent,THIN,/data
db-00199,Hard disk 1,50,persistent,THIN,/
db-00199,Hard disk 2,439,persistent,THIN,/data
app-00200,Hard disk 1,50,persistent,THIN,/
app-00200,Hard disk 2,92,persistent,THIN,/data
db-00201,Hard disk 1,50,persistent,THIN,/
db-00201,Hard disk 2,438,persistent,THIN,/data
app-00202,Hard disk 1,50,persistent,THIN,/
app-00202,Hard disk 2,112,persistent,THIN,/data
db-00203,Hard disk 1,50,persistent,THIN,/
db-00203,Hard disk 2,450,persistent,THIN,/data
app-00204,Hard disk 1,50,persistent,THIN,/
app-00204,Hard disk 2,117,persistent,THIN,/data
