VM,PowerState,OS according to the configuration file,CPUs,Memory,Provisioned (GB),Used (GB),Datacenter,Cluster,Host,Network #1,IP Address #1,Folder
web-00002,poweredOn,centos 8.4,2,5120,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan79,10.20.46.168,/prod/web
web-00003,poweredOn,ubuntu 22.04,4,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan53,10.10.45.110,/staging/web
app-00004,poweredOn,centos 7.9,8,9216,146,73.0,dc1,cl-app,cl-app-esx01,dvPG-vlan15,10.10.23.156,/prod/app
app-00006,poweredOn,centos 7.9,8,8192,159,79.5,dc2,cl-app,cl-app-esx01,dvPG-vlan56,10.20.25.73,/dev/app
app-00007,poweredOn,ubuntu 22.04,3,14336,140,70.0,dc3,cl-app,cl-app-esx01,dvPG-vlan78,10.30.39.164,/prod/app
app-00009,poweredOn,centos 7.9,8,9216,175,87.5,dc1,cl-app,cl-app-esx01,dvPG-vlan50,10.10.37.226,/prod/app
app-00010,poweredOn,ubuntu 22.04,5,14336,146,73.0,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.36.139,/prod/app
web-00011,poweredOn,ubuntu 22.04,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan24,10.10.49.14,/dev/web
app-00012,poweredOn,centos 7.9,8,14336,146,73.0,dc1,cl-app,cl-app-esx01,dvPG-vlan80,10.10.30.137,/prod/app
srv-00013,poweredOn,centos 7.9,7,15360,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan53,10.20.50.166,/prod/general
app-00014,poweredOn,ubuntu 22.04,3,11264,141,70.5,dc2,cl-app,cl-app-esx01,dvPG-vlan74,10.20.33.197,/prod/app
srv-00015,poweredOn,debian 11,8,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan77,10.10.11.140,/prod/general
srv-00016,poweredOn,debian 11,5,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan40,10.10.52.80,/prod/general
app-00017,poweredOn,rhel 8.6,2,5120,138,69.0,dc2,cl-app,cl-app-esx01,dvPG-vlan26,10.20.35.198,/staging/app
web-00019,poweredOn,ubuntu 22.04,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan80,10.10.2.152,/prod/web
app-00020,poweredOn,centos 7.9,2,5120,151,75.5,dc1,cl-app,cl-app-esx01,dvPG-vlan19,10.10.3.222,/staging/app
db-00021,poweredOn,oracle linux 8.6,15,46080,465,232.5,dc2,cl-db,cl-db-esx01,dvPG-vlan70,10.20.37.123,/prod/db
srv-00022,poweredOn,ubuntu 22.04,2,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan16,10.10.56.188,/prod/general
web-00024,poweredOn,ubuntu 22.04,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan22,10.10.55.142,/staging/web
app-00025,poweredOn,rhel 8.6,8,4096,161,80.5,dc3,cl-app,cl-app-esx01,dvPG-vlan71,10.30.11.106,/dev/app
app-00026,poweredOn,ubuntu 22.04,2,6144,159,79.5,dc3,cl-app,cl-app-esx01,dvPG-vlan46,10.30.51.202,/prod/app
web-00027,poweredOn,ubuntu 22.04,2,5120,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan50,10.30.35.17,/prod/web
app-00028,poweredOn,rhel 8.6,5,12288,141,70.5,dc1,cl-app,cl-app-esx01,dvPG-vlan18,10.10.33.22,/dev/app
web-00030,poweredOn,ubuntu 22.04,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan48,10.10.9.173,/prod/web
web-00031,poweredOn,centos 8.4,2,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan74,10.10.35.56,/prod/web
app-00032,poweredOn,ubuntu 22.04,2,7168,169,84.5,dc1,cl-app,cl-app-esx01,dvPG-vlan77,10.10.46.79,/prod/app
app-00033,poweredOn,rhel 8.6,4,14336,177,88.5,dc2,cl-app,cl-app-esx01,dvPG-vlan80,10.20.57.29,/prod/app
app-00034,poweredOn,ubuntu 22.04,6,7168,161,80.5,dc1,cl-app,cl-app-esx01,dvPG-vlan42,10.10.17.131,/staging/app
srv-00035,poweredOn,centos 7.9,2,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan43,10.10.50.35,/prod/general
app-00036,poweredOn,ubuntu 22.04,6,15360,139,69.5,dc1,cl-app,cl-app-esx01,dvPG-vlan79,10.10.57.178,/prod/app
app-00037,poweredOn,ubuntu 22.04,6,12288,180,90.0,dc1,cl-app,cl-app-esx01,dvPG-vlan15,10.10.58.240,/prod/app
srv-00038,poweredOn,ubuntu 22.04,7,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan89,10.10.56.106,/prod/general
mon-00039,poweredOn,ubuntu 22.04,2,5120,40,20.0,dc1,cl-monitoring,cl-monitoring-esx01,dvPG-vlan62,10.10.22.202,/staging/monitoring
srv-00040,poweredOn,ubuntu 22.04,4,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan38,10.10.55.122,/staging/general
app-00041,poweredOn,ubuntu 22.04,4,8192,155,77.5,dc2,cl-app,cl-app-esx01,dvPG-vlan52,10.20.43.51,/staging/app
app-00042,poweredOn,centos 7.9,8,8192,151,75.5,dc1,cl-app,cl-app-esx01,dvPG-vlan13,10.10.54.139,/prod/app
app-00043,poweredOn,ubuntu 22.04,3,13312,176,88.0,dc1,cl-app,cl-app-esx01,dvPG-vlan50,10.10.28.90,/dev/app
web-00044,poweredOn,centos 8.4,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan78,10.10.34.238,/prod/web
db-00046,poweredOn,oracle linux 8.6,13,58368,474,237.0,dc1,cl-db,cl-db-esx01,dvPG-vlan32,10.10.43.242,/prod/db
web-00048,poweredOn,centos 8.4,4,7168,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan46,10.30.43.23,/staging/web
db-00049,poweredOn,oracle linux 8.6,9,48128,465,232.5,dc1,cl-db,cl-db-esx01,dvPG-vlan70,10.10.2.13,/prod/db
app-00051,poweredOn,rhel 8.6,2,16384,174,87.0,dc2,cl-app,cl-app-esx01,dvPG-vlan76,10.20.15.47,/staging/app
web-00052,poweredOn,centos 8.4,2,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan50,10.10.36.154,/prod/web
srv-00053,poweredOn,2019,6,15360,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan30,10.10.29.231,/staging/general
mon-00054,poweredOn,ubuntu 22.04,3,6144,40,20.0,dc2,cl-monitoring,cl-monitoring-esx01,dvPG-vlan72,10.20.50.135,/staging/monitoring
app-00056,poweredOn,ubuntu 22.04,7,6144,156,78.0,dc1,cl-app,cl-app-esx01,dvPG-vlan17,10.10.35.121,/staging/app
app-00057,poweredOn,ubuntu 22.04,5,16384,154,77.0,dc2,cl-app,cl-app-esx01,dvPG-vlan71,10.20.49.149,/prod/app
app-00058,poweredOn,ubuntu 22.04,4,16384,177,88.5,dc2,cl-app,cl-app-esx01,dvPG-vlan79,10.20.35.193,/prod/app
srv-00059,poweredOn,ubuntu 22.04,5,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan61,10.10.43.175,/prod/general
app-00061,poweredOn,ubuntu 22.04,5,9216,178,89.0,dc1,cl-app,cl-app-esx01,dvPG-vlan63,10.10.25.73,/prod/app
app-00062,poweredOn,centos 7.9,5,4096,134,67.0,dc1,cl-app,cl-app-esx01,dvPG-vlan15,10.10.15.168,/staging/app
srv-00063,poweredOn,ubuntu 22.04,3,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan37,10.10.8.146,/prod/general
web-00064,poweredOn,ubuntu 22.04,3,5120,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan30,10.30.50.211,/prod/web
srv-00065,poweredOn,centos 7.9,6,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan35,10.10.25.103,/dev/general
app-00066,poweredOn,rhel 8.6,8,14336,137,68.5,dc2,cl-app,cl-app-esx01,dvPG-vlan82,10.20.44.155,/prod/app
srv-00067,poweredOn,debian 11,6,10240,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan63,10.10.1.219,/prod/general
srv-00068,poweredOn,centos 7.9,5,9216,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan76,10.20.28.47,/prod/general
srv-00069,poweredOn,debian 11,6,16384,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan85,10.20.53.189,/dev/general
app-00070,poweredOn,centos 7.9,8,5120,172,86.0,dc1,cl-app,cl-app-esx01,dvPG-vlan58,10.10.37.158,/prod/app
app-00071,poweredOn,ubuntu 22.04,8,9216,168,84.0,dc1,cl-app,cl-app-esx01,dvPG-vlan45,10.10.22.73,/prod/app
db-00072,poweredOn,centos 7.9,9,48128,491,245.5,dc1,cl-db,cl-db-esx01,dvPG-vlan72,10.10.45.123,/staging/db
web-00073,poweredOn,centos 8.4,2,6144,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan70,10.20.38.96,/prod/web
db-00074,poweredOn,oracle linux 8.6,14,54272,496,248.0,dc1,cl-db,cl-db-esx01,dvPG-vlan34,10.10.15.32,/prod/db
app-00075,poweredOn,rhel 8.6,6,16384,167,83.5,dc1,cl-app,cl-app-esx01,dvPG-vlan77,10.10.18.187,/prod/app
app-00077,poweredOn,centos 7.9,6,8192,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan83,10.10.32.28,/prod/app
app-00078,poweredOn,ubuntu 22.04,5,9216,134,67.0,dc1,cl-app,cl-app-esx01,dvPG-vlan61,10.10.31.31,/prod/app
db-00079,poweredOn,centos 7.9,10,41984,485,242.5,dc3,cl-db,cl-db-esx01,dvPG-vlan63,10.30.16.32,/staging/db
web-00082,poweredOn,ubuntu 22.04,3,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan39,10.20.30.20,/prod/web
srv-00083,poweredOn,ubuntu 22.04,5,5120,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan19,10.20.53.38,/prod/general
app-00084,poweredOn,ubuntu 22.04,6,15360,149,74.5,dc3,cl-app,cl-app-esx01,dvPG-vlan61,10.30.30.178,/staging/app
srv-00085,poweredOn,2019,5,5120,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan13,10.20.39.66,/prod/general
app-00086,poweredOn,rhel 8.6,8,13312,166,83.0,dc1,cl-app,cl-app-esx01,dvPG-vlan15,10.10.53.70,/prod/app
srv-00087,poweredOn,ubuntu 22.04,5,12288,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan72,10.30.38.113,/prod/general
srv-00088,poweredOn,2019,4,10240,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan73,10.20.22.107,/prod/general
app-00089,poweredOn,ubuntu 22.04,8,16384,179,89.5,dc1,cl-app,cl-app-esx01,dvPG-vlan61,10.10.21.31,/prod/app
srv-00090,poweredOn,centos 7.9,7,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan73,10.10.40.195,/prod/general
srv-00092,poweredOn,ubuntu 22.04,7,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan24,10.10.15.217,/prod/general
web-00093,poweredOn,centos 8.4,4,5120,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan71,10.20.18.108,/prod/web
srv-00094,poweredOn,ubuntu 22.04,5,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan27,10.10.48.227,/prod/general
srv-00095,poweredOn,debian 11,8,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan10,10.10.18.212,/staging/general
app-00096,poweredOn,ubuntu 22.04,8,13312,160,80.0,dc2,cl-app,cl-app-esx01,dvPG-vlan54,10.20.29.139,/prod/app
app-00097,poweredOn,rhel 8.6,5,11264,154,77.0,dc2,cl-app,cl-app-esx01,dvPG-vlan39,10.20.16.148,/dev/app
srv-00098,poweredOn,2019,2,9216,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan29,10.20.25.171,/staging/general
db-00099,poweredOn,centos 7.9,10,65536,456,228.0,dc1,cl-db,cl-db-esx01,dvPG-vlan77,10.10.55.114,/dev/db
srv-00100,poweredOn,centos 7.9,7,6144,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan43,10.20.31.202,/prod/general
app-00101,poweredOn,rhel 8.6,5,14336,150,75.0,dc1,cl-app,cl-app-esx01,dvPG-vlan90,10.10.35.99,/prod/app
srv-00103,poweredOn,centos 7.9,5,6144,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan47,10.30.51.16,/prod/general
app-00104,poweredOn,ubuntu 22.04,3,7168,135,67.5,dc1,cl-app,cl-app-esx01,dvPG-vlan88,10.10.11.46,/prod/app
srv-00105,poweredOn,ubuntu 22.04,5,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan11,10.10.17.172,/prod/general
srv-00106,poweredOn,2019,4,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan64,10.10.38.78,/prod/general
srv-00108,poweredOn,debian 11,2,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan16,10.10.50.192,/prod/general
srv-00109,poweredOn,2019,8,8192,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan34,10.10.15.164,/staging/general
app-00111,poweredOn,ubuntu 22.04,3,7168,147,73.5,dc1,cl-app,cl-app-esx01,dvPG-vlan31,10.10.34.130,/prod/app
app-00112,poweredOn,ubuntu 22.04,8,8192,178,89.0,dc1,cl-app,cl-app-esx01,dvPG-vlan38,10.10.5.38,/staging/app
srv-00113,poweredOn,2019,8,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan25,10.10.17.139,/prod/general
web-00114,poweredOn,ubuntu 22.04,4,7168,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan13,10.30.15.122,/staging/web
app-00116,poweredOn,centos 7.9,4,11264,153,76.5,dc1,cl-app,cl-app-esx01,dvPG-vlan79,10.10.25.118,/prod/app
