VM,Network,IP Address,Connected,MAC Address
web-00002,dvPG-vlan79,10.20.46.168,TRUE,00:50:56:ce:ce:ce
web-00003,dvPG-vlan53,10.10.45.110,TRUE,00:50:56:79:79:79
app-00004,dvPG-vlan15,10.10.23.156,TRUE,00:50:56:43:43:43
app-00006,dvPG-vlan56,10.20.25.73,TRUE,00:50:56:69:69:69
app-00007,dvPG-vlan78,10.30.39.164,TRUE,00:50:56:95:95:95
app-00009,dvPG-vlan50,10.10.37.226,TRUE,00:50:56:05:05:05
app-00010,dvPG-vlan84,10.10.36.139,TRUE,00:50:56:f7:f7:f7
web-00011,dvPG-vlan24,10.10.49.14,TRUE,00:50:56:65:65:65
app-00012,dvPG-vlan80,10.10.30.137,TRUE,00:50:56:5b:5b:5b
srv-00013,dvPG-vlan53,10.20.50.166,TRUE,00:50:56:66:66:66
app-00014,dvPG-vlan74,10.20.33.197,TRUE,00:50:56:1c:1c:1c
srv-00015,dvPG-vlan77,10.10.11.140,TRUE,00:50:56:6e:6e:6e
srv-00016,dvPG-vlan40,10.10.52.80,TRUE,00:50:56:fb:fb:fb
app-00017,dvPG-vlan26,10.20.35.198,TRUE,00:50:56:69:69:69
web-00019,dvPG-vlan80,10.10.2.152,TRUE,00:50:56:77:77:77
app-00020,dvPG-vlan19,10.10.3.222,TRUE,00:50:56:f8:f8:f8
db-00021,dvPG-vlan70,10.20.37.123,TRUE,00:50:56:11:11:11
srv-00022,dvPG-vlan16,10.10.56.188,TRUE,00:50:56:43:43:43
web-00024,dvPG-vlan22,10.10.55.142,TRUE,00:50:56:fe:fe:fe
app-00025,dvPG-vlan71,10.30.11.106,TRUE,00:50:56:43:43:43
app-00026,dvPG-vlan46,10.30.51.202,TRUE,00:50:56:54:54:54
web-00027,dvPG-vlan50,10.30.35.17,TRUE,00:50:56:72:72:72
app-00028,dvPG-vlan18,10.10.33.22,TRUE,00:50:56:04:04:04
web-00030,dvPG-vlan48,10.10.9.173,TRUE,00:50:56:22:22:22
web-00031,dvPG-vlan74,10.10.35.56,TRUE,00:50:56:67:67:67
app-00032,dvPG-vlan77,10.10.46.79,TRUE,00:50:56:e4:e4:e4
app-00033,dvPG-vlan80,10.20.57.29,TRUE,00:50:56:b4:b4:b4
app-00034,dvPG-vlan42,10.10.17.131,TRUE,00:50:56:0a:0a:0a
srv-00035,dvPG-vlan43,10.10.50.35,TRUE,00:50:56:65:65:65
app-00036,dvPG-vlan79,10.10.57.178,TRUE,00:50:56:62:62:62
app-00037,dvPG-vlan15,10.10.58.240,TRUE,00:50:56:e4:e4:e4
srv-00038,dvPG-vlan89,10.10.56.106,TRUE,00:50:56:ca:ca:ca
mon-00039,dvPG-vlan62,10.10.22.202,TRUE,00:50:56:bc:bc:bc
srv-00040,dvPG-vlan38,10.10.55.122,TRUE,00:50:56:e7:e7:e7
app-00041,dvPG-vlan52,10.20.43.51,TRUE,00:50:56:e9:e9:e9
app-00042,dvPG-vlan13,10.10.54.139,TRUE,00:50:56:e7:e7:e7
app-00043,dvPG-vlan50,10.10.28.90,TRUE,00:50:56:13:13:13
web-00044,dvPG-vlan78,10.10.34.238,TRUE,00:50:56:31:31:31
db-00046,dvPG-vlan32,10.10.43.242,TRUE,00:50:56:2d:2d:2d
web-00048,dvPG-vlan46,10.30.43.23,TRUE,00:50:56:40:40:40
db-00049,dvPG-vlan70,10.10.2.13,TRUE,00:50:56:41:41:41
app-00051,dvPG-vlan76,10.20.15.47,TRUE,00:50:56:91:91:91
web-00052,dvPG-vlan50,10.10.36.154,TRUE,00:50:56:52:52:52
srv-00053,dvPG-vlan30,10.10.29.231,TRUE,00:50:56:d2:d2:d2
mon-00054,dvPG-vlan72,10.20.50.135,TRUE,00:50:56:da:da:da
app-00056,dvPG-vlan17,10.10.35.121,TRUE,00:50:56:78:78:78
app-00057,dvPG-vlan71,10.20.49.149,TRUE,00:50:56:88:88:88
app-00058,dvPG-vlan79,10.20.35.193,TRUE,00:50:56:c9:c9:c9
srv-00059,dvPG-vlan61,10.10.43.175,TRUE,00:50:56:82:82:82
app-00061,dvPG-vlan63,10.10.25.73,TRUE,00:50:56:28:28:28
app-00062,dvPG-vlan15,10.10.15.168,TRUE,00:50:56:b1:b1:b1
srv-00063,dvPG-vlan37,10.10.8.146,TRUE,00:50:56:68:68:68
web-00064,dvPG-vlan30,10.30.50.211,TRUE,00:50:56:f6:f6:f6
srv-00065,dvPG-vlan35,10.10.25.103,TRUE,00:50:56:70:70:70
app-00066,dvPG-vlan82,10.20.44.155,TRUE,00:50:56:37:37:37
srv-00067,dvPG-vlan63,10.10.1.219,TRUE,00:50:56:f6:f6:f6
srv-00068,dvPG-vlan76,10.20.28.47,TRUE,00:50:56:63:63:63
srv-00069,dvPG-vlan85,10.20.53.189,TRUE,00:50:56:79:79:79
app-00070,dvPG-vlan58,10.10.37.158,TRUE,00:50:56:f9:f9:f9
app-00071,dvPG-vlan45,10.10.22.73,TRUE,00:50:56:27:27:27
db-00072,dvPG-vlan72,10.10.45.123,TRUE,00:50:56:74:74:74
web-00073,dvPG-vlan70,10.20.38.96,TRUE,00:50:56:84:84:84
db-00074,dvPG-vlan34,10.10.15.32,TRUE,00:50:56:d2:d2:d2
app-00075,dvPG-vlan77,10.10.18.187,TRUE,00:50:56:bb:bb:bb
app-00077,dvPG-vlan83,10.10.32.28,TRUE,00:50:56:64:64:64
app-00078,dvPG-vlan61,10.10.31.31,TRUE,00:50:56:6f:6f:6f
db-00079,dvPG-vlan63,10.30.16.32,TRUE,00:50:56:48:48:48
web-00082,dvPG-vlan39,10.20.30.20,TRUE,00:50:56:9f:9f:9f
srv-00083,dvPG-vlan19,10.20.53.38,TRUE,00:50:56:09:09:09
app-00084,dvPG-vlan61,10.30.30.178,TRUE,00:50:56:fe:fe:fe
srv-00085,dvPG-vlan13,10.20.39.66,TRUE,00:50:56:ab:ab:ab
app-00086,dvPG-vlan15,10.10.53.70,TRUE,00:50:56:9b:9b:9b
srv-00087,dvPG-vlan72,10.30.38.113,TRUE,00:50:56:f1:f1:f1
srv-00088,dvPG-vlan73,10.20.22.107,TRUE,00:50:56:30:30:30
app-00089,dvPG-vlan61,10.10.21.31,TRUE,00:50:56:63:63:63
srv-00090,dvPG-vlan73,10.10.40.195,TRUE,00:50:56:aa:aa:aa
srv-00092,dvPG-vlan24,10.10.15.217,TRUE,00:50:56:2e:2e:2e
web-00093,dvPG-vlan71,10.20.18.108,TRUE,00:50:56:1c:1c:1c
srv-00094,dvPG-vlan27,10.10.48.227,TRUE,00:50:56:64:64:64
srv-00095,dvPG-vlan10,10.10.18.212,TRUE,00:50:56:5b:5b:5b
app-00096,dvPG-vlan54,10.20.29.139,TRUE,00:50:56:18:18:18
app-00097,dvPG-vlan39,10.20.16.148,TRUE,00:50:56:ec:ec:ec
srv-00098,dvPG-vlan29,10.20.25.171,TRUE,00:50:56:3b:3b:3b
db-00099,dvPG-vlan77,10.10.55.114,TRUE,00:50:56:cf:cf:cf
srv-00100,dvPG-vlan43,10.20.31.202,TRUE,00:50:56:f7:f7:f7
app-00101,dvPG-vlan90,10.10.35.99,TRUE,00:50:56:30:30:30
srv-00103,dvPG-vlan47,10.30.51.16,TRUE,00:50:56:e9:e9:e9
app-00104,dvPG-vlan88,10.10.11.46,TRUE,00:50:56:3f:3f:3f
srv-00105,dvPG-vlan11,10.10.17.172,TRUE,00:50:56:26:26:26
srv-00106,dvPG-vlan64,10.10.38.78,TRUE,00:50:56:ee:ee:ee
srv-00108,dvPG-vlan16,10.10.50.192,TRUE,00:50:56:fc:fc:fc
srv-00109,dvPG-vlan34,10.10.15.164,TRUE,00:50:56:c9:c9:c9
app-00111,dvPG-vlan31,10.10.34.130,TRUE,00:50:56:74:74:74
app-00112,dvPG-vlan38,10.10.5.38,TRUE,00:50:56:85:85:85
srv-00113,dvPG-vlan25,10.10.17.139,TRUE,00:50:56:6e:6e:6e
web-00114,dvPG-vlan13,10.30.15.122,TRUE,00:50:56:dc:dc:dc
app-00116,dvPG-vlan79,10.10.25.118,TRUE,00:50:56:28:28:28
web-00117,dvPG-vlan57,10.20.18.10,TRUE,00:50:56:e7:e7:e7
app-00118,dvPG-vlan60,10.20.42.93,TRUE,00:50:56:a7:a7:a7
app-00119,dvPG-vlan52,10.10.2.14,TRUE,00:50:56:fa:fa:fa
app-00120,dvPG-vlan52,10.20.38.57,TRUE,00:50:56:9b:9b:9b
srv-00121,dvPG-vlan13,10.10.8.171,TRUE,00:50:56:a0:a0:a0
app-00122,dvPG-vlan63,10.10.4.34,TRUE,00:50:56:f2:f2:f2
db-00123,dvPG-vlan15,10.10.33.58,TRUE,00:50:56:dc:dc:dc
app-00125,dvPG-vlan51,10.10.38.142,TRUE,00:50:56:69:69:69
web-00126,dvPG-vlan80,10.10.55.169,TRUE,00:50:56:ee:ee:ee
web-00128,dvPG-vlan65,10.10.6.25,TRUE,00:50:56:9a:9a:9a
app-00129,dvPG-vlan25,10.10.36.86,TRUE,00:50:56:bf:bf:bf
