sys_id,name,hostname,fqdn,ip_address,os,os_version,ram_gb,cpus,company,environment,business_criticality,location,virtual,subnet,serial_number
SYS0000,k8s-w-00001,k8s-w-00001,k8s-w-00001.dc2.corp,10.20.58.141,ubuntu,22.04,64,16,Corp,prod,medium,dc2,false,10.20.58.0/24,SN700000
SYS0001,web-00002,web-00002,web-00002.dc2.corp,10.20.46.168,centos,8.4,5,2,Corp,prod,medium,dc2,true,10.20.46.0/24,SN700001
SYS0002,web-00003,web-00003,web-00003.dc1.corp,10.10.45.110,ubuntu,22.04,6,4,Corp,staging,low,dc1,true,10.10.45.0/24,SN700002
SYS0003,app-00004,app-00004,app-00004.dc1.corp,10.10.23.156,centos,7.9,9,8,Corp,prod,medium,dc1,true,10.10.23.0/24,SN700003
SYS0004,hdop-00005,hdop-00005,hdop-00005.dc2.corp,10.20.56.94,centos,7.9,64,16,Corp,prod,medium,dc2,false,10.20.56.0/24,SN700004
SYS0005,app-00006,app-00006,app-00006.dc2.corp,10.20.25.73,centos,7.9,8,8,Corp,dev,low,dc2,true,10.20.25.0/24,SN700005
SYS0006,app-00007,app-00007,app-00007.dc3.corp,10.30.39.164,ubuntu,22.04,14,3,Corp,prod,medium,dc3,true,10.30.39.0/24,SN700006
SYS0007,hdop-00008,hdop-00008,hdop-00008.dc3.corp,10.30.15.177,centos,7.9,64,16,Corp,prod,medium,dc3,false,10.30.15.0/24,SN700007
SYS0008,app-00009,app-00009,app-00009.dc1.corp,10.10.37.226,centos,7.9,9,8,Corp,prod,low,dc1,true,10.10.37.0/24,SN700008
SYS0009,app-00010,app-00010,app-00010.dc1.corp,10.10.36.139,ubuntu,22.04,14,5,Corp,prod,high,dc1,true,10.10.36.0/24,SN700009
SYS0010,web-00011,web-00011,web-00011.dc1.corp,10.10.49.14,ubuntu,22.04,5,3,Corp,dev,medium,dc1,true,10.10.49.0/24,SN700010
SYS0011,app-00012,app-00012,app-00012.dc1.corp,10.10.30.137,centos,7.9,14,8,Corp,prod,medium,dc1,true,10.10.30.0/24,SN700011
SYS0012,srv-00013,srv-00013,srv-00013.dc2.corp,10.20.50.166,centos,7.9,15,7,Corp,prod,medium,dc2,true,10.20.50.0/24,SN700012
SYS0013,app-00014,app-00014,app-00014.dc2.corp,10.20.33.197,ubuntu,22.04,11,3,Corp,prod,medium,dc2,true,10.20.33.0/24,SN700013
SYS0014,srv-00015,srv-00015,srv-00015.dc1.corp,10.10.11.140,debian,11,14,8,Corp,prod,medium,dc1,true,10.10.11.0/24,SN700014
SYS0015,srv-00016,srv-00016,srv-00016.dc1.corp,10.10.52.80,debian,11,4,5,Corp,prod,low,dc1,true,10.10.52.0/24,SN700015
SYS0016,app-00017,app-00017,app-00017.dc2.corp,10.20.35.198,rhel,8.6,5,2,Corp,staging,low,dc2,true,10.20.35.0/24,SN700016
SYS0017,k8s-w-00018,k8s-w-00018,k8s-w-00018.dc3.corp,10.30.45.53,ubuntu,22.04,64,16,Corp,dev,medium,dc3,false,10.30.45.0/24,SN700017
SYS0018,web-00019,web-00019,web-00019.dc1.corp,10.10.2.152,ubuntu,22.04,8,3,Corp,prod,high,dc1,true,10.10.2.0/24,SN700018
SYS0019,app-00020,app-00020,app-00020.dc1.corp,10.10.3.222,centos,7.9,5,2,Corp,staging,high,dc1,true,10.10.3.0/24,SN700019
SYS0020,db-00021,db-00021,db-00021.dc2.corp,10.20.37.123,oracle linux,8.6,45,15,Corp,prod,low,dc2,true,10.20.37.0/24,SN700020
SYS0021,srv-00022,srv-00022,srv-00022.dc1.corp,10.10.56.188,ubuntu,22.04,5,2,Corp,prod,medium,dc1,true,10.10.56.0/24,SN700021
SYS0022,hdop-00023,hdop-00023,hdop-00023.dc2.corp,10.20.13.50,centos,7.9,64,16,Corp,staging,high,dc2,false,10.20.13.0/24,SN700022
SYS0023,web-00024,web-00024,web-00024.dc1.corp,10.10.55.142,ubuntu,22.04,5,3,Corp,staging,low,dc1,true,10.10.55.0/24,SN700023
SYS0024,app-00025,app-00025,app-00025.dc3.corp,10.30.11.106,rhel,8.6,4,8,Corp,dev,low,dc3,true,10.30.11.0/24,SN700024
SYS0025,app-00026,app-00026,app-00026.dc3.corp,10.30.51.202,ubuntu,22.04,6,2,Corp,prod,high,dc3,true,10.30.51.0/24,SN700025
SYS0026,web-00027,web-00027,web-00027.dc3.corp,10.30.35.17,ubuntu,22.04,5,2,Corp,prod,medium,dc3,true,10.30.35.0/24,SN700026
SYS0027,app-00028,app-00028,app-00028.dc1.corp,10.10.33.22,rhel,8.6,12,5,Corp,dev,high,dc1,true,10.10.33.0/24,SN700027
SYS0028,k8s-m-00029,k8s-m-00029,k8s-m-00029.dc1.corp,10.10.3.160,ubuntu,22.04,16,8,Corp,dev,medium,dc1,false,10.10.3.0/24,SN700028
SYS0029,web-00030,web-00030,web-00030.dc1.corp,10.10.9.173,ubuntu,22.04,5,3,Corp,prod,high,dc1,true,10.10.9.0/24,SN700029
SYS0030,web-00031,web-00031,web-00031.dc1.corp,10.10.35.56,centos,8.4,7,2,Corp,prod,high,dc1,true,10.10.35.0/24,SN700030
SYS0031,app-00032,app-00032,app-00032.dc1.corp,10.10.46.79,ubuntu,22.04,7,2,Corp,prod,low,dc1,true,10.10.46.0/24,SN700031
SYS0032,app-00033,app-00033,app-00033.dc2.corp,10.20.57.29,rhel,8.6,14,4,Corp,prod,high,dc2,true,10.20.57.0/24,SN700032
SYS0033,app-00034,app-00034,app-00034.dc1.corp,10.10.17.131,ubuntu,22.04,7,6,Corp,staging,medium,dc1,true,10.10.17.0/24,SN700033
